"code","name","name:fr_CH"
"SH","Schaffhausen","Schaffhousen"
"VS","Valais","Valais"
"SZ","Schwyz","Schwyz"
"SO","Solothurn","Soleure"
"SG","St. Gallen","St. Gall"
"AG","Aargau","Argovie"
"FR","Fribourg","Fribourg"
"GE","Geneva","Genève"
"BL","Basel-Landschaft","Bâle campagne"
"TG","Thurgau","Thurgovie"
"VD","Vaud","Vaud"
"JU","Jura","Jura"
"AR","Appenzell Ausserrhoden","Appenzell Rhodes-Extérieures"
"BS","Basel-Stadt","Bâle Ville"
"GR","Graubünden","Grisons"
"UR","Uri","Uri"
"LI","Principality of Liechtenstein","Principauté du Liechtenstein"
"ZG","Zug","Zug"
"AI","Appenzell Innerrhoden","Appenzell Rhodes-Intérieures"
"TI","Ticino","Tessin"
"BE","Bern","Berne"
"GL","Glarus","Glaris"
"ZH","Zurich","Zurich"
"NW","Nidwalden","Nidwald"
"OW","Obwalden","Obwald"
"NE","Neuchâtel","Neuchâtel"
"LU","Lucerne","Lucerne"
